source_id|attrib|object|value|attrib_type
1|status|41a4e1f1-2c0c-7e51-0495-4900dc4c072c|New|
1|assigned_user_id|41a4e1f1-2c0c-7e51-0495-4900dc4c072c|d64e9409-6445-db6f-e9eb-48fce5e9fb16|
1|created_by_name|41a4e1f1-2c0c-7e51-0495-4900dc4c072c|adam|
1|work_log|41a4e1f1-2c0c-7e51-0495-4900dc4c072c||
1|priority|41a4e1f1-2c0c-7e51-0495-4900dc4c072c|High|
1|case_number|41a4e1f1-2c0c-7e51-0495-4900dc4c072c|58|
1|account_id|41a4e1f1-2c0c-7e51-0495-4900dc4c072c|881be9cb-3879-9660-46be-48fceb82ea5f|
1|type|41a4e1f1-2c0c-7e51-0495-4900dc4c072c|Administration|
1|modified_user_id|41a4e1f1-2c0c-7e51-0495-4900dc4c072c|820ea7b3-d38a-2700-2ed9-4941aa91d86e|
1|name|41a4e1f1-2c0c-7e51-0495-4900dc4c072c|implement SugarCRM sample app|
1|assigned_user_name|41a4e1f1-2c0c-7e51-0495-4900dc4c072c|adam|
1|modified_by_name|41a4e1f1-2c0c-7e51-0495-4900dc4c072c|testuser|
1|description|41a4e1f1-2c0c-7e51-0495-4900dc4c072c|\t\t\n\tupdated|
1|date_modified|41a4e1f1-2c0c-7e51-0495-4900dc4c072c|2008-12-12 02:25:31|
1|date_entered|41a4e1f1-2c0c-7e51-0495-4900dc4c072c|2008-10-23 20:21:27|
1|resolution|41a4e1f1-2c0c-7e51-0495-4900dc4c072c|\t\t\n\t|
1|created_by|41a4e1f1-2c0c-7e51-0495-4900dc4c072c|d64e9409-6445-db6f-e9eb-48fce5e9fb16|
1|account_name|41a4e1f1-2c0c-7e51-0495-4900dc4c072c|Rhomobile|
2|billing_address_country|44e804f2-4933-4e20-271c-48fcecd9450d|India|
2|assigned_user_id|44e804f2-4933-4e20-271c-48fcecd9450d|1|
2|website|44e804f2-4933-4e20-271c-48fcecd9450d|mobio.in|
2|billing_address_street|44e804f2-4933-4e20-271c-48fcecd9450d||
2|assigned_user_name|44e804f2-4933-4e20-271c-48fcecd9450d|admin|
2|created_by|44e804f2-4933-4e20-271c-48fcecd9450d|1|
2|campaign_id|44e804f2-4933-4e20-271c-48fcecd9450d||
2|billing_address_city|44e804f2-4933-4e20-271c-48fcecd9450d|Gurgaon|
2|shipping_address_street|44e804f2-4933-4e20-271c-48fcecd9450d||
2|email1|44e804f2-4933-4e20-271c-48fcecd9450d|ramneek@bhasin.com|
2|date_modified|44e804f2-4933-4e20-271c-48fcecd9450d|2008-10-21 18:07:11|
2|sic_code|44e804f2-4933-4e20-271c-48fcecd9450d||
2|industry|44e804f2-4933-4e20-271c-48fcecd9450d|Technology|
2|parent_name|44e804f2-4933-4e20-271c-48fcecd9450d||
2|name|44e804f2-4933-4e20-271c-48fcecd9450d|Mobio India|
2|annual_revenue|44e804f2-4933-4e20-271c-48fcecd9450d||
2|ticker_symbol|44e804f2-4933-4e20-271c-48fcecd9450d||
2|phone_fax|44e804f2-4933-4e20-271c-48fcecd9450d||
2|shipping_address_city|44e804f2-4933-4e20-271c-48fcecd9450d||
2|ownership|44e804f2-4933-4e20-271c-48fcecd9450d||
2|phone_office|44e804f2-4933-4e20-271c-48fcecd9450d||
2|phone_alternate|44e804f2-4933-4e20-271c-48fcecd9450d||
2|billing_address_state|44e804f2-4933-4e20-271c-48fcecd9450d||
2|modified_user_id|44e804f2-4933-4e20-271c-48fcecd9450d|1|
2|description|44e804f2-4933-4e20-271c-48fcecd9450d|Hello description!|
2|modified_by_name|44e804f2-4933-4e20-271c-48fcecd9450d|admin|
2|employees|44e804f2-4933-4e20-271c-48fcecd9450d||
2|shipping_address_postalcode|44e804f2-4933-4e20-271c-48fcecd9450d||
2|billing_address_postalcode|44e804f2-4933-4e20-271c-48fcecd9450d||
2|account_type|44e804f2-4933-4e20-271c-48fcecd9450d||
2|date_entered|44e804f2-4933-4e20-271c-48fcecd9450d|2008-10-20 20:40:42|
2|rating|44e804f2-4933-4e20-271c-48fcecd9450d||
2|parent_id|44e804f2-4933-4e20-271c-48fcecd9450d||
2|created_by_name|44e804f2-4933-4e20-271c-48fcecd9450d|admin|
2|shipping_address_state|44e804f2-4933-4e20-271c-48fcecd9450d||
2|phone_fax|63cf13da-cff4-99e7-f946-48fcec93f1cc||
2|description|63cf13da-cff4-99e7-f946-48fcec93f1cc|NULL|
2|ownership|63cf13da-cff4-99e7-f946-48fcec93f1cc||
2|date_modified|63cf13da-cff4-99e7-f946-48fcec93f1cc|2008-10-22 20:30:48|
2|billing_address_city|63cf13da-cff4-99e7-f946-48fcec93f1cc|Mountain View|
2|ticker_symbol|63cf13da-cff4-99e7-f946-48fcec93f1cc||
2|shipping_address_street|63cf13da-cff4-99e7-f946-48fcec93f1cc||
2|shipping_address_city|63cf13da-cff4-99e7-f946-48fcec93f1cc||
2|phone_alternate|63cf13da-cff4-99e7-f946-48fcec93f1cc||
2|email1|63cf13da-cff4-99e7-f946-48fcec93f1cc|dan@aeroprise.com|
2|shipping_address_state|63cf13da-cff4-99e7-f946-48fcec93f1cc||
2|billing_address_state|63cf13da-cff4-99e7-f946-48fcec93f1cc|CA|
2|annual_revenue|63cf13da-cff4-99e7-f946-48fcec93f1cc||
2|billing_address_street|63cf13da-cff4-99e7-f946-48fcec93f1cc|1032 Shoreline Drive|
2|employees|63cf13da-cff4-99e7-f946-48fcec93f1cc||
2|phone_office|63cf13da-cff4-99e7-f946-48fcec93f1cc||
2|modified_user_id|63cf13da-cff4-99e7-f946-48fcec93f1cc|1|
2|modified_by_name|63cf13da-cff4-99e7-f946-48fcec93f1cc|admin|
2|campaign_id|63cf13da-cff4-99e7-f946-48fcec93f1cc||
2|created_by|63cf13da-cff4-99e7-f946-48fcec93f1cc|1|
2|parent_id|63cf13da-cff4-99e7-f946-48fcec93f1cc||
2|shipping_address_country|63cf13da-cff4-99e7-f946-48fcec93f1cc||
2|parent_name|63cf13da-cff4-99e7-f946-48fcec93f1cc||
2|billing_address_postalcode|63cf13da-cff4-99e7-f946-48fcec93f1cc|94024|
2|created_by_name|63cf13da-cff4-99e7-f946-48fcec93f1cc|admin|
2|name|63cf13da-cff4-99e7-f946-48fcec93f1cc|Aeroprise|
2|website|63cf13da-cff4-99e7-f946-48fcec93f1cc|aeroprise.com|
2|account_type|63cf13da-cff4-99e7-f946-48fcec93f1cc||
2|sic_code|63cf13da-cff4-99e7-f946-48fcec93f1cc||
2|date_entered|63cf13da-cff4-99e7-f946-48fcec93f1cc|2008-10-20 20:39:15|
2|industry|63cf13da-cff4-99e7-f946-48fcec93f1cc|Technology|
2|assigned_user_id|63cf13da-cff4-99e7-f946-48fcec93f1cc|1|
2|rating|63cf13da-cff4-99e7-f946-48fcec93f1cc||
2|assigned_user_name|63cf13da-cff4-99e7-f946-48fcec93f1cc|admin|
2|shipping_address_postalcode|63cf13da-cff4-99e7-f946-48fcec93f1cc||
2|billing_address_country|63cf13da-cff4-99e7-f946-48fcec93f1cc||
